id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
0f753c6cd4a19671cefc8cc73ad7c699,krakow,apartmentBuilding,72.0,3.0,2.0,2.0,2021.0,50.03178,19.89599,4.0,1.0,0.669,1.322,1.281,1.11,0.154,2.077,0.889,condominium,brick,,no,yes,yes,no,no,5500
877dd366e09e59ce65df212ffff90e98,warszawa,blockOfFlats,50.0,2.0,6.0,6.0,2021.0,52.1947382,20.98520637,4.3,14.0,0.471,0.115,0.247,0.213,0.264,1.268,0.333,condominium,,,yes,yes,yes,no,no,4800
0e4d5765357a06454dfb5780b5e9bb78,warszawa,,54.5,2.0,3.0,4.0,1959.0,52.2693286,20.9818745,4.44,41.0,0.12,0.128,0.078,0.046,0.125,0.75,0.181,condominium,,low,no,no,,no,no,875000
6dec7fcae30c2690e4bc5465cfc138ac,szczecin,,44.0,2.0,1.0,8.0,1966.0,53.4322122,14.5478141,1.31,75.0,0.222,0.304,0.148,0.358,0.05,0.424,0.038,condominium,concreteSlab,,no,yes,yes,no,no,429000
1870642873f1b6f773012c12aa4aad00,wroclaw,apartmentBuilding,110.0,4.0,2.0,4.0,2010.0,51.0923628,16.9807675,3.98,14.0,0.288,1.341,0.207,0.304,0.188,2.075,0.212,condominium,brick,,yes,yes,yes,yes,no,7900
0fcde9262970ef20e1ac338b9979f343,rzeszow,apartmentBuilding,80.78,4.0,5.0,8.0,2014.0,50.02953686,22.00982952,0.94,10.0,0.434,0.724,0.624,0.498,0.021,0.472,0.423,condominium,brick,premium,yes,yes,yes,no,no,998000
fcb726c5d9fb93cb1accb3b687a6fc80,krakow,,38.0,2.0,6.0,6.0,2019.0,50.07641,20.02135,6.37,21.0,0.122,1.811,0.345,0.186,0.292,0.894,0.211,condominium,,,no,yes,no,no,no,680000
44903e2cfc4c6f41c879ab1d9acc4874,warszawa,apartmentBuilding,55.0,2.0,3.0,3.0,,52.16316,21.07879,9.19,26.0,0.771,1.77,0.268,0.354,0.07,2.262,0.174,condominium,brick,,no,yes,yes,no,no,4000
8f81db4d3b38de46f236b7264689bafb,warszawa,apartmentBuilding,57.6,3.0,4.0,4.0,2022.0,52.20832,20.93719,5.22,4.0,1.115,0.475,1.09,0.341,0.642,2.042,0.873,condominium,brick,,no,yes,yes,no,no,975000
c08563c8c9c991d55ff0cb1b4f8698d6,warszawa,blockOfFlats,40.4,2.0,8.0,8.0,1999.0,52.25682,20.92641,5.95,14.0,0.259,0.324,0.64,0.182,0.525,1.543,0.328,condominium,,,no,yes,yes,no,yes,629000
f5eb46c2d7c9489d6aac67cc9068e131,warszawa,blockOfFlats,61.11,3.0,3.0,3.0,2023.0,52.2620219,21.1635302,11.4,15.0,0.437,3.787,0.354,0.184,0.268,4.38,0.255,condominium,,,no,yes,no,no,no,665000
458d1b6bd3cc8f938149be9cf09687f8,bydgoszcz,apartmentBuilding,47.47,2.0,4.0,19.0,2020.0,53.126,18.0079,0.65,54.0,0.111,0.205,0.351,0.405,0.058,0.622,0.205,condominium,brick,,yes,yes,yes,no,no,518435
75818e3d970aca3301b151565864223c,wroclaw,apartmentBuilding,51.2,2.0,,2.0,2023.0,51.1389665,17.0492602,3.42,6.0,0.593,1.039,0.449,0.286,0.475,1.582,0.478,condominium,brick,,yes,no,yes,no,no,654700
7fa5a16bab7e567d605c3079bea2eeba,katowice,tenement,41.71,2.0,1.0,3.0,1920.0,50.25314898,19.01646495,0.72,33.0,0.264,0.332,0.415,0.329,0.113,0.328,0.115,condominium,brick,premium,no,no,no,no,no,1900
605d803fe1299adc5de29c15c94da3a4,krakow,blockOfFlats,72.0,3.0,1.0,7.0,2010.0,50.0171654,19.8976125,5.15,24.0,0.683,0.309,0.036,0.247,0.138,3.321,0.29,condominium,,,no,yes,yes,no,no,4200
acf69434ffd7cde9349b3588f8570789,warszawa,apartmentBuilding,43.73,2.0,5.0,8.0,2006.0,52.2033415,20.9979785,3.18,23.0,0.433,0.212,0.37,0.442,0.063,0.281,0.113,condominium,brick,premium,no,yes,yes,no,no,999000
620f1d687ab8aec2af82ee22efd99b4b,warszawa,apartmentBuilding,91.0,3.0,8.0,14.0,,52.16926,21.01947,7.03,4.0,0.731,0.911,0.547,0.374,0.305,2.779,0.54,condominium,brick,,no,yes,yes,yes,no,9300
0b139499adda974488401e0af75d5479,krakow,blockOfFlats,138.0,5.0,3.0,4.0,1995.0,50.0777,19.9038,3.51,11.0,0.503,0.901,0.304,0.219,0.06,0.837,0.144,condominium,brick,,no,yes,no,no,yes,1390000
85620179a37c3c222e297327f599873c,warszawa,apartmentBuilding,43.0,2.0,,6.0,2018.0,52.2667563,20.9888273,4.02,28.0,0.206,0.448,0.271,0.164,0.2,0.213,0.246,condominium,brick,premium,yes,yes,yes,no,no,895000
a9a60a8dea7f9aa24d9e775813e36547,warszawa,apartmentBuilding,69.0,3.0,1.0,1.0,2020.0,52.204167,21.014722,3.16,34.0,0.138,0.167,0.032,0.05,0.151,0.423,0.167,condominium,brick,,yes,yes,yes,yes,yes,1737000
7a92b83e203e1ec54350f801d6e9e188,warszawa,blockOfFlats,75.0,3.0,,4.0,1960.0,52.26625,20.97511,4.3,32.0,0.123,0.246,0.421,0.178,0.374,0.412,0.028,condominium,,low,no,yes,no,no,yes,1200000
